product_id,name,price,quantity,category,description,production_date,expiration_date,rating,status
1,Катык,1664,975,Молочные продукты,"Помогает поддерживать нормальный уровень эритропоэтина, гормона, стимулирующего производство эритроцитов.",2009-01-24,2027-03-03,1.48,Delivered
2,Туалетная бумага,6335,743,Товары для дома,"Помогает поддерживать нормальный уровень нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",2009-02-20,2010-01-02,2.65,Shipping
3,Крольчатина,3860,257,Мясо,"Отличается высоким содержанием карнитина, необходимого для преобразования жиров в энергию.",2006-07-13,2030-03-10,3.68,Awaiting Review
4,Пакеты для запекания,7180,915,Товары для дома,Помогает поддерживать нормальный уровень энергии и выносливости.,1992-04-02,2018-01-03,4.9,Temporarily Unavailable
5,Каша из кукурузной муки,4163,405,Бакалея,"Помогает поддерживать нормальный уровень эндорфинов, гормонов радости и удовольствия.",1997-09-13,2019-05-06,2.32,Temporarily Unavailable
6,Катык,9711,334,Молочные продукты,"Отличается низким содержанием лактозы, что делает его доступным для людей с ее непереносимостью.",1997-01-11,2001-01-06,3.89,Temporarily Unavailable
7,Зубная щетка,546,503,Товары для дома,"Отличается высоким содержанием марганца, необходимого для здоровья костей и соединительных тканей.",2006-02-11,2006-05-03,0.84,New
8,Пахта,6614,183,Молочные продукты,"Отличается высоким содержанием олигосахаридов, полезных для здоровья кишечника и иммунной системы.",1991-09-09,1997-03-10,0.01,On Backorder
9,Свинина,8167,171,Мясо,"Помогает поддерживать нормальный уровень нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",2002-06-12,2011-05-09,1.86,Available for Pickup
10,Каша из риса дикого,7966,548,Бакалея,"Отличается высоким содержанием олигосахаридов, полезных для здоровья кишечника и иммунной системы.",1995-01-07,1995-09-01,4.2,Out of Stock
11,Новошахтинская,1084,322,Напитки,"Подходит для приготовления как горячих, так и холодных блюд.",1990-02-07,2007-04-04,1.54,Delivered
12,Тюменская,8455,210,Напитки,"Отличается высоким содержанием хлорогеновых кислот, веществ, способствующих снижению веса и контролю уровня сахара в крови.",2011-03-11,2024-02-25,0.71,Returned
13,Патиссон,8145,681,Овощи,Помогает укрепить иммунную систему и защитить организм от инфекций.,1999-06-23,2015-01-26,4.74,Awaiting Review
14,Чоризо,7562,521,Мясо,"Обладает мягким вкусом, который нравится многим потребителям.",2020-01-02,2022-03-08,1.98,Available for Pickup
15,Верблюжье молоко,7531,630,Молочные продукты,"Помогает поддерживать нормальный уровень фитоэстрогенов, веществ, полезных для женского здоровья.",2012-01-16,2014-03-03,3.45,In Stock
16,Пакеты для аукциона,4913,233,Товары для дома,"Помогает поддерживать нормальный уровень тиреоидных гормонов, регулирующих обмен веществ.",1991-03-20,2028-08-04,3.24,New
17,Перец болгарский,1782,206,Овощи,"Отличается широким ассортиментом вкусов и форматов, удовлетворяя потребности разных категорий потребителей.",2022-12-21,2028-01-06,1.88,New
